단어,빈도수
사람,1924
한국,1843
시간,1767
방문,1604
바다,1433
풍경,1412
겨울,1331
섬,1211
해변,1165
장소,1140
여행,1124
공원,1038
사진,962
산,896
아이,857
스키,798
생각,792
경치,783
추천,744
눈,744
위치,702
박물관,698
자연,696
버스,687
산책,678
가을,664
서울,658
속초,651
정도,649
가족,643
여름,628
주변,619
나무,612
리조트,602
관광객,589
촬영,587
길,587
가치,578
시설,576
거리,565
드라마,555
지역,540
케이블카,534
설악산,532
자전거,528
느낌,515
남이섬,513
경험,508
마을,502
춘천,499
물,490
바위,488
관광,481
환경,472
위,472
가격,471
근처,445
전망,440
음식,429
역사,426
최고,416
호수,408
호텔,407
바람,402
사원,401
체험,400
날씨,388
강릉,385
동굴,378
건물,377
도착,375
재미,374
강원도,372
시장,370
명소,364
코스,364
구경,362
일출,361
공기,353
경우,352
입장료,348
친구,348
전체,346
티켓,344
기차,341
이용,337
안,334
역,331
전망대,331
온천,316
옆,316
커피,307
해,303
맛,302
계곡,297
차,292
분위기,291
주차,290
입구,287
카페,287
보기,286
비,286
당신,283
주차장,281
식당,278
모래,277
사랑,274
앞,272
경관,272
노래,272
선택,270
도시,269
단풍,267
동해,267
해수욕장,266
매력,266
파크,265
폭포,265
하루,264
기분,260
이상,260
사용,258
전시,257
무료,253
집,251
북한,250
문화,250
봄,249
물이,249
회,245
마음,244
투어,243
목장,240
밤,240
레스토랑,240
가기,238
수도,237
아침,236
주말,234
비교,232
실제,232
일부,228
숲,227
예약,225
절,225
보트,224
인기,223
꽃,223
처음,222
하이킹,222
잎,220
내부,219
가게,219
휴식,218
정동진,218
등산,217
알,215
정상,215
양,212
강,207
시작,205
연인,203
식사,200
세계,200
공간,200
모습,199
휴가,199
배,197
전통,194
계단,193
파도,192
규모,192
활동,190
길이,190
교통,190
중국,185
이름,184
계절,184
해산물,184
낭만,184
택시,182
예술,179
흥미,179
정원,177
산책로,177
방법,176
중간,175
일반,174
등대,173
다리,173
닭갈비,172
제공,172
도로,172
관광지,170
자체,167
개인,165
경포대,165
볼거리,164
식물,164
구입,164
야외,163
설명,162
줄,161
사실,161
레일,161
울산,161
사찰,160
아래,158
상점,156
철도,154
인상,154
터널,153
축제,152
시내,152
지금,151
종류,149
가이드,149
시계,148
이동,148
커플,146
닭강정,146
한국인,146
소나무,146
쇼핑,146
영화,146
항구,146
기억,146
하늘,145
직원,143
관리,142
열차,141
터미널,141
의미,139
워터,139
대표,137
그림,137
월정사,136
마지막,136
감상,136
평창,135
서비스,135
국립,135
불,134
테마,133
포함,133
작품,133
걷기,132
명동,132
예전,132
라면,132
레일바이크,130
장면,130
바닷가,129
오후,129
힐링,128
얼음,128
속,128
찍기,127
순두부,127
외국인,126
필요,126
끝,126
기본,125
삶,125
관람,125
준비,124
